dataset_id,name,source,url,modality_json,population,species,sample_size,labels_available,sleep_staging_available,psg_available,eeg_available,fmri_available,dti_available,mri_available,scales_available,access_status,license,benchmark_tasks_json,notes
dataset_0406e7623069,NSRR,National Sleep Research Resource,https://sleepdata.org/,"[""PSG"", ""questionnaires"", ""clinical""]",,human,,True,True,True,False,False,False,False,True,controlled/open depending dataset,,"[""external_validation"", ""benchmark_planning""]",Curated registry entry; no dataset download performed.
dataset_4432f1db1b69,Sleep-EDF,PhysioNet,https://physionet.org/,"[""EEG"", ""PSG""]",healthy / sleep cassette / sleep telemetry,human,,True,True,True,True,False,False,False,False,open,,"[""external_validation"", ""benchmark_planning""]",Curated registry entry; no dataset download performed.
dataset_cf3fb2929d70,OpenNeuro sleep,OpenNeuro,https://openneuro.org/,"[""EEG"", ""fMRI"", ""MRI""]",,human,,True,True,False,True,True,False,True,False,open,,"[""external_validation"", ""benchmark_planning""]",Curated registry entry; no dataset download performed.
dataset_d8e090643a89,CAP Sleep Database,PhysioNet,https://physionet.org/,"[""EEG"", ""PSG""]",,human,,True,True,True,True,False,False,False,False,open,,"[""external_validation"", ""benchmark_planning""]",Curated registry entry; no dataset download performed.
