1.00000000,0.33198791,0.13940345,0.04973066,-0.15862764,0.13269750,0.09604476,-0.18871797,-0.03830929,0.15304878,0.84391199,0.37657306
0.33198791,1.00000000,0.22185735,0.37819004,0.18666890,0.07417492,0.11989803,0.07179912,0.26396407,0.18832141,0.29012298,0.13311068
0.13940345,0.22185735,1.00000000,0.31628986,0.32849583,0.11844151,0.21662375,0.24778073,0.21689546,0.79103762,0.21126637,0.39168326
0.04973066,0.37819004,0.31628986,1.00000000,0.13769219,0.28919266,0.16335186,0.01211179,0.56998971,0.17716663,-0.01845270,0.17671131
-0.15862764,0.18666890,0.32849583,0.13769219,1.00000000,-0.06763223,-0.07873321,0.82240455,0.13754883,0.13314495,-0.17127051,0.05419377
0.13269750,0.07417492,0.11844151,0.28919266,-0.06763223,1.00000000,0.68602693,-0.00655305,-0.13374416,-0.04624297,0.07866844,0.30176501
0.09604476,0.11989803,0.21662375,0.16335186,-0.07873321,0.68602693,1.00000000,-0.04757692,0.13730178,0.28173284,0.15926892,0.41160486
-0.18871797,0.07179912,0.24778073,0.01211179,0.82240455,-0.00655305,-0.04757692,1.00000000,0.03981575,0.08420212,-0.21375325,0.08737389
-0.03830929,0.26396407,0.21689546,0.56998971,0.13754883,-0.13374416,0.13730178,0.03981575,1.00000000,0.34844333,-0.06844249,0.09244414
0.15304878,0.18832141,0.79103762,0.17716663,0.13314495,-0.04624297,0.28173284,0.08420212,0.34844333,1.00000000,0.30042344,0.35780883
0.84391199,0.29012298,0.21126637,-0.01845270,-0.17127051,0.07866844,0.15926892,-0.21375325,-0.06844249,0.30042344,1.00000000,0.42147936
0.37657306,0.13311068,0.39168326,0.17671131,0.05419377,0.30176501,0.41160486,0.08737389,0.09244414,0.35780883,0.42147936,1.00000000
