term,coefficient,p_value,corrected_p_value,effect_size
Intercept,955.823529,0.0,,
thalamus_DMN_FC,-582.352941,0.0,0.0,-6.293362
mean_FD,-2476.470588,0.0,0.0,-24.193945
in_scanner_sleep_time,-16.705882,0.0,0.0,-18.2381
medication,-17.941176,0.0,0.0,-1.964572
