term,coefficient,p_value,corrected_p_value,effect_size
Intercept,2.446667,0.0,,
spindle_density,0.188889,0.0,0.0,1.26956
mean_FD,-7.0,0.0,0.0,-6.328126
in_scanner_sleep_time,-0.063889,0.0,0.0,-6.45415
medication,-0.050556,0.0,0.0,-0.512259
