期刊名称,期刊简称,aisRank,jifRank,ISSN,EISSN,学科门类,总引用次数,影响因子,分区,jci,percentageOAGold,数据库
IEEE Reviews in Biomedical Engineering,IEEE REV BIOMED ENG,4/126,6/130,1937-3333,1941-1189,"ENGINEERING, BIOMEDICAL",3840.0,16.0,Q1,2.52,22.0,SCIE
AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,4/285,4/293,0002-953X,1535-7228,PSYCHIATRY,40251.0,15.9,Q1,3.67,1.0,"SCIE, SSCI"
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,14/202,9/210,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",29066.0,15.9,Q1,2.96,8.42,SCIE
Nature Chemical Biology,NAT CHEM BIOL,8/319,13/328,1552-4450,1552-4469,BIOCHEMISTRY & MOLECULAR BIOLOGY,35656.0,15.8,Q1,3.05,29.08,SCIE
Lancet Regional Health-Europe,LANCET REG HEALTH-EU,3/180,2/194,2666-7762,2666-7762,HEALTH CARE SCIENCES & SERVICES,9075.0,15.7,Q1,4.51,99.82,SCIE
TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,9/320,9/330,0166-2236,1878-108X,NEUROSCIENCES,24033.0,15.7,Q1,2.06,34.91,SCIE
Cardiovascular Diabetology,CARDIOVASC DIABETOL,24/229,7/237,,1475-2840,CARDIAC & CARDIOVASCULAR SYSTEMS,28480.0,15.6,Q1,3.17,100.0,SCIE
Science Translational Medicine,SCI TRANSL MED,15/203,18/207,1946-6234,1946-6242,CELL BIOLOGY,58152.0,15.6,Q1,3.13,4.66,SCIE
JACC: CardioOncology,JACC-CARDIOONCOL,9/229,8/237,2666-0873,2666-0873,CARDIAC & CARDIOVASCULAR SYSTEMS,4039.0,15.5,Q1,2.73,100.0,SCIE
AGEING RESEARCH REVIEWS,AGEING RES REV,27/203,19/207,1568-1637,1872-9649,CELL BIOLOGY,32111.0,15.5,Q1,1.61,28.2,SCIE
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,8/202,10/210,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",95219.0,15.3,Q1,2.23,2.07,SCIE
JAMA Cardiology,JAMA CARDIOL,5/229,9/237,2380-6583,2380-6591,CARDIAC & CARDIOVASCULAR SYSTEMS,16454.0,15.2,Q1,3.71,21.61,SCIE
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,12/175,4/180,1569-1705,1572-9826,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,6785.0,15.1,Q1,1.12,30.63,SCIE
NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,10/319,14/328,0305-1048,1362-4962,BIOCHEMISTRY & MOLECULAR BIOLOGY,318538.0,15.0,Q1,3.06,99.74,SCIE
JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,13/175,5/180,,1477-3155,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,44212.0,15.0,Q1,1.98,100.0,SCIE
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,20/202,11/210,1942-4787,1942-4795,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6540.0,15.0,Q1,1.08,41.79,SCIE
Theranostics,THERANOSTICS,16/187,6/191,1838-7640,1838-7640,"MEDICINE, RESEARCH & EXPERIMENTAL",56535.0,14.9,Q1,2.87,99.92,SCIE
