network,x,y,z,n_subjects,coord_source,coord_space,coord_status
thalamus,2.454467695850437,3.4227307853052173,4.050301583476086,93,atlas-derived ROI centroid from 51 subject atlas masks,atlas_image_world,atlas_derived
DMN,5.636904873690763,-31.133394562037644,18.105058466757143,93,atlas-derived ROI centroid from 51 subject atlas masks,atlas_image_world,atlas_derived
salience,2.8097986850809256,47.501752701650815,20.58834543824196,93,atlas-derived ROI centroid from 51 subject atlas masks,atlas_image_world,atlas_derived
frontoparietal,1.3772553717420748,-21.49016417024281,37.60869010007358,93,atlas-derived ROI centroid from 51 subject atlas masks,atlas_image_world,atlas_derived
