segment_summary,keys,segment_count
/media/qlp/68ACC1E8ACC1B13C/fmri_agent/fmri_result/JingZongOLT/fmri_free/derivatives/sub-ISM035/ses-mri0/segment/segment_summary.json,"method,segment_count,segments,sleep_label",0
/media/qlp/68ACC1E8ACC1B13C/fmri_agent/fmri_result/JingZongOLT/fmri_free/derivatives/sub-ISM035/ses-mri1/segment/segment_summary.json,"method,segment_count,segments,sleep_label",0
