query_group,record_count,status
human_sleep_eeg_psg,2,sparse
insomnia_clinical_application,3,sparse
insomnia_neuroimaging,3,sparse
general_sleep_physiology,0,empty
sleep_circuits,0,empty
molecular_cellular_sleep,0,empty
animal_causal_sleep,0,empty
animal_sleep_models,0,empty
human_sleep_neuroimaging,0,empty
symptoms_scales,0,empty
methods_confounds,0,empty
translational_bridge,0,empty
