feature,network_a,network_b,healthy_mean,nonhealthy_mean,nonhealthy_minus_healthy,welch_p,n_healthy,n_nonhealthy,fdr_q,significant_fdr_0_05
thalamus_DMN_FC,thalamus,DMN,0.23112444221391093,0.29781734045234554,0.0666928982384346,0.5676445349076571,19,74,0.791388283898187,False
thalamus_salience_FC,thalamus,salience,0.28533790397516584,0.3311317517861508,0.045793847810984945,0.6995966778470305,19,74,0.791388283898187,False
thalamus_frontoparietal_FC,thalamus,frontoparietal,0.11250359849936278,0.16537382345960658,0.052870224960243795,0.6626619003047032,19,74,0.791388283898187,False
DMN_salience_FC,DMN,salience,0.359822614979085,0.43757273962754467,0.07775012464845965,0.4467558633461536,19,74,0.791388283898187,False
DMN_frontoparietal_FC,DMN,frontoparietal,0.6102184837187938,0.6113852202931976,0.0011667365744038038,0.989874969601125,19,74,0.9898749696011249,False
salience_frontoparietal_FC,salience,frontoparietal,0.3801931845731001,0.42185790715526134,0.04166472258216125,0.703456252353944,19,74,0.791388283898187,False
DMN_FC,DMN,DMN,0.6797889628153491,0.9320785700432237,0.25228960722787463,0.056760299535000065,19,74,0.25370228139364637,False
salience_FC,salience,salience,0.7466700237441968,1.0049449859546478,0.258274962210451,0.08456742713121546,19,74,0.25370228139364637,False
frontoparietal_FC,frontoparietal,frontoparietal,0.77822933773936,1.0622784281569349,0.28404909041757487,0.044201644465081125,19,74,0.25370228139364637,False
