1.00000000,0.28330902,0.12929966,-0.00000933,-0.19326415,0.10069912,0.07540213,-0.21040139,-0.07288516,0.13820776,0.84210540,0.35648844
0.28330902,1.00000000,0.12476577,0.31126060,0.11706267,-0.01268689,0.01763838,0.01835547,0.21748912,0.11769775,0.25319631,0.05250467
0.12929966,0.12476577,1.00000000,0.24665572,0.21289924,0.05129918,0.13245460,0.17102737,0.16017465,0.76633709,0.19774164,0.32170260
-0.00000933,0.31126060,0.24665572,1.00000000,0.07582207,0.23323892,0.08728587,-0.02433603,0.55568847,0.12425066,-0.07217300,0.10387733
-0.19326415,0.11706267,0.21289924,0.07582207,1.00000000,-0.09841731,-0.14786253,0.81544243,0.09469308,0.02964037,-0.21031195,-0.03799596
0.10069912,-0.01268689,0.05129918,0.23323892,-0.09841731,1.00000000,0.65170149,-0.01561786,-0.21706468,-0.10048837,0.04614284,0.27330162
0.07540213,0.01763838,0.13245460,0.08728587,-0.14786253,0.65170149,1.00000000,-0.09260522,0.05116496,0.23882851,0.12963191,0.39116208
-0.21040139,0.01835547,0.17102737,-0.02433603,0.81544243,-0.01561786,-0.09260522,1.00000000,0.00956375,0.01858230,-0.24336887,0.02556263
-0.07288516,0.21748912,0.16017465,0.55568847,0.09469308,-0.21706468,0.05116496,0.00956375,1.00000000,0.33237223,-0.10903335,0.02628315
0.13820776,0.11769775,0.76633709,0.12425066,0.02964037,-0.10048837,0.23882851,0.01858230,0.33237223,1.00000000,0.28351173,0.29319946
0.84210540,0.25319631,0.19774164,-0.07217300,-0.21031195,0.04614284,0.12963191,-0.24336887,-0.10903335,0.28351173,1.00000000,0.38550855
0.35648844,0.05250467,0.32170260,0.10387733,-0.03799596,0.27330162,0.39116208,0.02556263,0.02628315,0.29319946,0.38550855,1.00000000
