7.25432862,0.34506075,0.14031715,0.04977172,-0.15997860,0.13348470,0.09634173,-0.19100746,-0.03832804,0.15426086,1.23461234,0.39606041
0.34506075,7.25432862,0.22560876,0.39794592,0.18888356,0.07431140,0.12047757,0.07192288,0.27036461,0.19059629,0.29870054,0.13390532
0.14031715,0.22560876,7.25432862,0.32751915,0.34114120,0.11900007,0.22011089,0.25304699,0.22039600,1.07419810,0.21449651,0.41378679
0.04977172,0.39794592,0.32751915,7.25432862,0.13857240,0.29768502,0.16482853,0.01211238,0.64750760,0.17905598,-0.01845480,0.17858594
-0.15997860,0.18888356,0.34114120,0.13857240,7.25432862,-0.06773563,-0.07889650,1.16420194,0.13842628,0.13394020,-0.17297527,0.05424692
0.13348470,0.07431140,0.11900007,0.29768502,-0.06773563,7.25432862,0.84041144,-0.00655314,-0.13455028,-0.04627597,0.07883133,0.31146030
0.09634173,0.12047757,0.22011089,0.16482853,-0.07889650,0.84041144,7.25432862,-0.04761286,0.13817446,0.28956331,0.16063650,0.43754190
-0.19100746,0.07192288,0.25304699,0.01211238,1.16420194,-0.00655314,-0.04761286,7.25432862,0.03983681,0.08440197,-0.21710101,0.08759726
-0.03832804,0.27036461,0.22039600,0.64750760,0.13842628,-0.13455028,0.13817446,0.03983681,7.25432862,0.36367087,-0.06854967,0.09270884
0.15426086,0.19059629,1.07419810,0.17905598,0.13394020,-0.04627597,0.28956331,0.08440197,0.36367087,7.25432862,0.30998498,0.37437075
1.23461234,0.29870054,0.21449651,-0.01845480,-0.17297527,0.07883133,0.16063650,-0.21710101,-0.06854967,0.30998498,7.25432862,0.44948959
0.39606041,0.13390532,0.41378679,0.17858594,0.05424692,0.31146030,0.43754190,0.08759726,0.09270884,0.37437075,0.44948959,7.25432862
