feature,network_a,network_b,healthy_mean,nonhealthy_mean,nonhealthy_minus_healthy,welch_p,n_healthy,n_nonhealthy,fdr_q,significant_fdr_0_05
thalamus_DMN_FC,thalamus,DMN,0.23112444221391093,0.3244076513084307,0.09328320909451976,0.44048871689421776,19,63,0.664589748146654,False
thalamus_salience_FC,thalamus,salience,0.28533790397516584,0.3472721895011841,0.06193428552601826,0.6134032279411066,19,63,0.6900786314337449,False
thalamus_frontoparietal_FC,thalamus,frontoparietal,0.11250359849936278,0.1942258669157445,0.08172226841638172,0.5169031374473975,19,63,0.664589748146654,False
DMN_salience_FC,DMN,salience,0.359822614979085,0.457291416265341,0.09746880128625596,0.35736228347027155,19,63,0.664589748146654,False
DMN_frontoparietal_FC,DMN,frontoparietal,0.6102184837187938,0.6317805663258269,0.021562082607033073,0.8210418009902014,19,63,0.8210418009902014,False
salience_frontoparietal_FC,salience,frontoparietal,0.3801931845731001,0.4565444985513574,0.07635131397825734,0.49780704690145317,19,63,0.664589748146654,False
DMN_FC,DMN,DMN,0.6797889628153491,0.9581585643739793,0.2783696015586302,0.03873155139356507,19,63,0.17429198127104284,False
salience_FC,salience,salience,0.7466700237441968,1.0208250962679148,0.27415507252371807,0.07085735501441644,19,63,0.21257206504324933,False
frontoparietal_FC,frontoparietal,frontoparietal,0.77822933773936,1.0871693560134552,0.30894001827409523,0.031541144140413195,19,63,0.17429198127104284,False
