network,x,y,z,n_subjects,coord_source,coord_space,coord_status
thalamus,2.454467695850437,3.4227307853052173,1.870108842046976,82,atlas-derived ROI centroid from 43 subject atlas masks,atlas_image_world,atlas_derived
DMN,5.729849989220767,-30.79719698546363,17.697294131542503,82,atlas-derived ROI centroid from 43 subject atlas masks,atlas_image_world,atlas_derived
salience,2.2582842468617015,48.046171646315436,19.368968674825307,82,atlas-derived ROI centroid from 43 subject atlas masks,atlas_image_world,atlas_derived
frontoparietal,1.613363355639688,-20.40675632340124,37.00908189768817,82,atlas-derived ROI centroid from 43 subject atlas masks,atlas_image_world,atlas_derived
