clinical_anchor,feature,network_a,network_b,healthy_spearman_r,healthy_spearman_p,healthy_n,nonhealthy_spearman_r,nonhealthy_spearman_p,nonhealthy_n,group_fc_interaction_beta,group_fc_interaction_p,group_fc_interaction_n,nonhealthy_mechanism_direction,healthy_control_direction,nonhealthy_spearman_fdr_q,healthy_spearman_fdr_q,group_fc_interaction_fdr_q
BAI,DMN_frontoparietal_FC,DMN,frontoparietal,-0.0010140819642967748,0.9967125932018881,19,-0.06102308447850161,0.6347159152809576,63,5.630510594770112,0.49792970324582586,82,nonhealthy_lower,nonhealthy_lower,0.7821223192131601,0.9967125932018882,0.8626083719732612
BAI,salience_frontoparietal_FC,salience,frontoparietal,0.28495703196739375,0.23701176719836392,19,0.10764529898141366,0.4010527857713172,63,4.903276716075107,0.48622084898058104,82,nonhealthy_greater,nonhealthy_greater,0.6624313693892063,0.8317159300504153,0.8626083719732612
BAI,DMN_FC,DMN,DMN,0.274816212324426,0.2548417359868647,19,0.18054067258694814,0.1567852087310679,63,-5.380972469859043,0.38317393343025385,82,nonhealthy_greater,nonhealthy_greater,0.4443394583258746,0.8317159300504153,0.8626083719732612
BAI,salience_FC,salience,salience,0.05070409821483873,0.8366804132925636,19,0.1277053737132968,0.3185590133451548,63,-3.9738475561171853,0.47731019345015957,82,nonhealthy_greater,nonhealthy_greater,0.6257912420874167,0.9654004768760348,0.8626083719732612
BAI,frontoparietal_FC,frontoparietal,frontoparietal,0.5648436541133035,0.011742181913294972,19,0.1273682296001559,0.31984885706690186,63,-1.6297811413372933,0.7762570422632601,82,nonhealthy_greater,nonhealthy_greater,0.6257912420874167,0.26419909304913686,0.8626083719732612
BDI,thalamus_DMN_FC,thalamus,DMN,-0.08838068516840042,0.7190011648727197,19,0.011841878774882015,0.9266082543154343,63,2.446605506278988,0.6303058902864006,82,nonhealthy_greater,nonhealthy_lower,0.9563081170888171,0.9627934378593256,0.8626083719732612
BDI,thalamus_salience_FC,thalamus,salience,0.13612657255822594,0.5784318620782559,19,0.09741211481007832,0.4475471495321256,63,2.6128428256158758,0.5993991539479767,82,nonhealthy_greater,nonhealthy_greater,0.6624313693892063,0.9627934378593256,0.8626083719732612
BDI,thalamus_frontoparietal_FC,thalamus,frontoparietal,0.010158699444643728,0.967076380098436,19,0.04374983319274129,0.7335079709981212,63,1.6192524442527865,0.7411273743388036,82,nonhealthy_greater,nonhealthy_greater,0.8463553511516781,0.9967125932018882,0.8626083719732612
BDI,DMN_salience_FC,DMN,salience,0.2742848850053806,0.2557986552879274,19,0.05952292630633159,0.6430783513530427,63,4.372503821561189,0.4515005171638681,82,nonhealthy_greater,nonhealthy_greater,0.7821223192131601,0.8317159300504153,0.8626083719732612
BDI,DMN_frontoparietal_FC,DMN,frontoparietal,0.17269789055894336,0.47956165497852576,19,-0.05248050552778668,0.682912954236065,63,2.79650978442809,0.6650999258431952,82,nonhealthy_lower,nonhealthy_greater,0.8087127089637612,0.9382728032188546,0.8626083719732612
BDI,salience_frontoparietal_FC,salience,frontoparietal,0.28850706422788186,0.2309643401731166,19,-0.029568520118137168,0.8180580439568179,63,4.3737358322013655,0.41956278839383976,82,nonhealthy_lower,nonhealthy_greater,0.8813693485915249,0.8317159300504153,0.8626083719732612
BDI,DMN_FC,DMN,DMN,0.4297129865084296,0.0663287115939907,19,0.26630962409826314,0.03488415507943351,63,-5.254913483733844,0.2624539923989533,82,nonhealthy_greater,nonhealthy_greater,0.17442077539716752,0.5552903324492073,0.8626083719732612
