roi,region_name,x,y,z,coordinate_space,native_x,native_y,native_z
parcel_00,L-superiortemporal,-57.4373,-7.70498,27.0662,MNI152NLin2009cAsym,-54.903724670410156,15.434280395507812,13.494935035705566
parcel_01,L-supramarginal,-59.8133,-30.0493,62.7172,MNI152NLin2009cAsym,-54.903724670410156,-23.065719604492188,38.69493389129639
parcel_02,L-inferiorparietal,-40.6904,-59.4205,61.193,MNI152NLin2009cAsym,-37.403724670410156,-51.06571960449219,26.094934463500977
parcel_03,L-rostralmiddlefrontal,-42.3134,43.2943,53.4451,MNI152NLin2009cAsym,-37.403724670410156,53.93428039550781,55.494933128356934
parcel_04,L-superiorparietal,-19.8965,-49.8928,73.035,MNI152NLin2009cAsym,-19.903724670410156,-47.56571960449219,42.89493370056152
parcel_05,L-superiorfrontal,-12.1107,29.3449,60.7618,MNI152NLin2009cAsym,-9.403724670410156,36.43428039550781,63.89493274688721
parcel_06,R-superiorfrontal,4.64825,30.2612,66.4401,MNI152NLin2009cAsym,8.096275329589844,39.93428039550781,68.09493255615234
parcel_07,R-superiorparietal,28.3049,-52.6456,74.0278,MNI152NLin2009cAsym,29.096275329589844,-47.56571960449219,42.89493370056152
parcel_08,R-rostralmiddlefrontal,30.4213,43.5568,48.4148,MNI152NLin2009cAsym,32.596275329589844,57.43428039550781,51.2949333190918
parcel_09,R-inferiorparietal,50.8671,-54.0602,63.128,MNI152NLin2009cAsym,50.096275329589844,-44.06571960449219,30.294934272766113
parcel_10,R-superiortemporal,55.8478,-6.47178,23.8488,MNI152NLin2009cAsym,57.096275329589844,18.934280395507812,9.29493522644043
parcel_11,R-middletemporal,64.9958,-17.7563,20.1976,MNI152NLin2009cAsym,64.09627532958984,8.434280395507812,0.8949356079101562
